[10 10
 .........T
 XX...XX...
 X.........
 XXXXXXX...
 ....XG....
 XX..XGX...
 ....XXX...
 XX...XX.K.
 S.........
 XX...XX...]
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 10]];KEYS: []
DELAY: 41.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 9]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 8]];KEYS: []
DELAY: 48.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 8]];KEYS: []
DELAY: 42.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 9]];KEYS: []
DELAY: 46.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 10]];KEYS: []
DELAY: 42.0;PACMAN: 1,2;GHOSTS: [[6, 6], [10, 10]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[5, 6], [10, 10]];KEYS: []
DELAY: 42.0;PACMAN: 1,2;GHOSTS: [[5, 7], [10, 10]];KEYS: []
DELAY: 42.0;PACMAN: 1,2;GHOSTS: [[5, 8], [10, 10]];KEYS: []
DELAY: 47.0;PACMAN: 1,2;GHOSTS: [[4, 8], [10, 10]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[4, 8], [10, 10]];KEYS: []
DELAY: 42.0;PACMAN: 1,2;GHOSTS: [[5, 8], [10, 10]];KEYS: []
DELAY: 44.0;PACMAN: 1,2;GHOSTS: [[4, 8], [10, 10]];KEYS: []
DELAY: 47.0;PACMAN: 1,2;GHOSTS: [[3, 8], [10, 10]];KEYS: []
DELAY: 49.0;PACMAN: 1,2;GHOSTS: [[4, 8], [10, 10]];KEYS: []
DELAY: 49.0;PACMAN: 1,2;GHOSTS: [[4, 9], [10, 9]];KEYS: []
DELAY: 54.0;PACMAN: 1,2;GHOSTS: [[4, 8], [10, 8]];KEYS: []
DELAY: 49.0;PACMAN: 1,2;GHOSTS: [[4, 9], [9, 8]];KEYS: []
DELAY: 45.0;PACMAN: 1,2;GHOSTS: [[3, 9], [8, 8]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[3, 8], [7, 8]];KEYS: []
DELAY: 45.0;PACMAN: 1,2;GHOSTS: [[3, 9], [6, 8]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[4, 9], [5, 8]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[4, 8], [4, 8]];KEYS: []
DELAY: 49.0;PACMAN: 1,2;GHOSTS: [[3, 8], [5, 8]];KEYS: []
DELAY: 45.0;PACMAN: 1,2;GHOSTS: [[2, 8], [4, 8]];KEYS: []
DELAY: 42.0;PACMAN: 1,2;GHOSTS: [[1, 8], [4, 8]];KEYS: []
DELAY: 46.0;PACMAN: 1,2;GHOSTS: [[1, 7], [3, 8]];KEYS: []
DELAY: 48.0;PACMAN: 1,2;GHOSTS: [[1, 6], [4, 8]];KEYS: []
DELAY: 49.0;PACMAN: 1,2;GHOSTS: [[1, 5], [4, 8]];KEYS: []
DELAY: 43.0;PACMAN: 1,2;GHOSTS: [[1, 4], [4, 8]];KEYS: []
DELAY: 48.0;PACMAN: 1,2;GHOSTS: [[1, 3], [3, 8]];KEYS: []
DELAY: 42.0;PACMAN: 1,2;GHOSTS: [[1, 2], [2, 8]];KEYS: []
DELAY: 42.0;PACMAN: 1,3;GHOSTS: [[1, 1], [2, 8]];KEYS: []
